instituicao_id;st_funcionamento_gn;instituicao_name;cnpj_mantenedora;razao_social
19823;10035;Faculdade Porto União;20621394000102;MOSCATO EDUCACAO SUPERIOR LTDA
2123;10035;CENTRO UNIVERSITÁRIO MAX PLANCK;03791661000170;INSTITUTO DE ENSINO SUPERIOR DE INDAIATUBA LTDA
17405;10035;FACULDADE AFONSO MAFRENSE;14770004000163;SEVARP - SOCIEDADE EDUCACIONAL DO VALE DO RIO PIAUI LTDA
22760;10035;Faculdade Fleming Cerquilho;28652611000133;A. FLEMING EDUCACIONAL LTDA
18158;10035;FACULDADE MADALENA SOFIA;04935903000115;FACULDADE MADALENA SOFIA LTDA
2843;10035;FACULDADE DE CIÊNCIAS MÉDICAS E DA SAÚDE DE JUIZ DE FORA;05079440000108;SUPREMA-SOCIEDADE UNIVERSITARIA PARA O ENSINO MEDICO ASSISTENCIAL LTDA
22741;10035;FACULDADE MASTER DO PARÁ - FAMAP XINGUARA;09265775000163;SOCIEDADE DE ENSINO SUPERIOR MASTER S/S LTDA. - ME
494;10035;UNIVERSIDADE DO SUL DE SANTA CATARINA;86445293000136;FUNDACAO UNIVERSIDADE DO SUL DE SANTA CATARINA-UNISUL
23842;10035;FACULDADE SENAC CEARA;03648344000108;SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL - SENAC
1490;10035;CENTRO UNIVERSITÁRIO DE JAGUARIÚNA;03211847000103;INSTITUTO EDUCACIONAL JAGUARY LTDA
608;10035;"ESCOLA SUPERIOR DE CRUZEIRO ""PREFEITO HAMILTON VIEIRA MENDES""";47550074000165;ESCOLA SUPERIOR DE CRUZEIRO PREFEITO HAMILTON VIEIRA MENDES
22763;10035;FACULDADE SANTA CASA;15153745000168;SANTA CASA DE MISERICORDIA DA BAHIA
26467;10035;Hospital Central do Exército;00394452000103;COMANDO DO EXERCITO
22472;10035;FACULDADE ARQUIDIOCESANA DE PIRAPORA;20078531000104;MITRA ARQUIDIOCESANA DE DIAMANTINA
1697;10035;CENTRO UNIVERSITÁRIO FACOL;03391726000190;ASSOCIACAO VITORIENSE DE EDUCACAO, CIENCIAS E CULTURA - AVEC
2895;10034;Faculdade liberdade - Educação e Tecnologia;34824464000134;PAMELA A. KUHN MARTINS -INSTITUTO DE PESQUISA
693;10035;UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO;34023077000107;UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO
1773;10035;CENTRO UNIVERSITÁRIO FAI;03882782000128;UCEFF - UNIDADE CENTRAL DE EDUCACAO FAI FACULDADES LTDA
14961;10035;FACULDADE DE TECNOLOGIA EM SAÚDE - IAHCS;87750527000111;INSTITUTO ADMINISTRACAO HOSPITALAR E CIENCIAS DA SAUDE
24676;10035;Faculdade de Medicina de Ji-Paraná;04298309000160;IBMEC EDUCACIONAL LTDA.
16508;10035;IPE INSTITUTO DE PESQUISAS ECOLOGICAS;66831223000109;IPE - INSTITUTO DE PESQUISAS ECOLOGICAS
18490;10034;Instituto Politécnico Doctum de Guarapari;19322494000159;INSTITUTO ENSINAR BRASIL
25657;10035;FACULDADE ITH;15272624000135;INSTITUTO HEALTH - ITH EIRELI
2632;10035;FACULDADES INTEGRADAS DO EXTREMO SUL DA BAHIA;02754493000180;UNIAO DE EDUCACAO E CULTURA-UNECE
21816;10035;FACULDADE UNINTA;03365403000122;ASSOCIACAO IGREJA ADVENTISTA MISSIONARIA - AIAMIS
18506;10035;UNIVERSIDADE FEDERAL DO OESTE DA BAHIA;18641263000145;UNIVERSIDADE FEDERAL DO OESTE DA BAHIA
1048;10035;FACULDADE CAMPOS ELÍSEOS;09231470000130;INSTITUTO DE ENSINO MEDIO E SUPERIOR FRANCOIS MARIE AROUET LTDA
21643;10035;Faculdade Rudolf Steiner;60665528000101;ASSOCIACAO PEDAGOGICA RUDOLF STEINER
2832;10035;Faculdade Sucesso;30643825000195;FAS - FACULDADE SUCESSO LTDA
24530;10035;Faculdade da Polícia Militar de Santa Catarina;83931550000151;POLICIA MILITAR DO ESTADO DE SANTA CATARINA
4632;10035;FACULDADE IDEAU DE CAXIAS DO SUL;17588465000108;INSTITUTO DE DESENVOLVIMENTO EDUCACIONAL DE CAXIAS DO SUL LTDA
23707;10035;FACULDADE DE TECNOLOGIA E EDUCAÇÃO SUPERIOR E PROFISSIONALIZ;10391250000153;INSTITUTO ITESP EIRELI
2364;10034;FACULDADE DE ADMINISTRAÇÃO DE EMPRESAS DE PARAÍSO DO TOCANTINS;04952766000127;UNEST - UNIAO EDUCACIONAL DE ENSINO SUPERIOR DO MEDIO TOCANTINS LTDA - ME
24214;10035;Faculdade dos Gênios;23540427000188;DAVI MOURAO NOVAIS FERRAZ
5044;10034;FACULDADE DE DIREITO DE GARANHUNS;11224920000100;AUTARQUIA DO ENSINO SUPERIOR DE GARANHUNS AESGA
22999;10035;Faculdade de Tecnologia e Ciências - FTC Itapipoca;07714798000182;ORGANIZACAO TECNOLOGICA DE ENSINO LTDA
1587;10035;FACULDADE ANHANGUERA DE TANGARÁ DA SERRA;14793478000120;UNIC EDUCACIONAL LTDA
1713;10035;FACULDADE DE TECNOLOGIA DE SÃO VICENTE;44309573000177;FORTEC ASSESSORIA E TREINAMENTO LTDA
22196;10035;Faculdade de Direito Serra Dourada;19498813000181;SOCIEDADE EDUCACIONAL SANTO ANTONIO LTDA
23409;10035;FACULDADE CENTRO SÃO PAULO;29800793000105;FACULDADE CENTRO SAO PAULO LTDA
20588;10035;Faculdade de Direito de Uruguaiana - Anhanguera;38733648000140;EDITORA E DISTRIBUIDORA EDUCACIONAL S/A
